UPC/EAN (GTIN),Master Box #,Style Name,Size,Quantity,FNSKU,Amazon Labels,Referencia,Box,Style #,UPC,EAN,DONE
453902,Box 11 - SET ASIDE (NO VA A AMAZON) - ARIZONA BFBC GRAY TAUPE 40,ARIZONA BFBC GRAY TAUPE,40,12,,SET ASIDE,453902,11,1032019,192763097592,4067707903467,False
453902,Box 12 - BOSTON NU OILED HABANA 41,BOSTON NU OILED HABANA,41,8,X005BB9KOB,FBA19QHGWM04U000468,453902,12,860131,809410438171,4040714438177,False
453902,Box 13 - BOSTON EVA EGGSHELL 38,BOSTON EVA EGGSHELL,38,12,X004IXJK2P,FBA19QHGWM04U000313,453902,13,1027382,192761925293,4066648349549,False
453902,Box 14 - ARIZONA BFBC MOCCA 40,ARIZONA BFBC MOCCA,40,12,X004WEF0PL,FBA19QHGWM04U000426,453902,14,151181,809410059192,4040714059198,False
453902,Box 15 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000077,453902,15,51791,736399020274,4013871020271,False
453902,Box 16 - SET ASIDE (NO VA A AMAZON) - ARIZONA SB EVA SURF GREEN 40,ARIZONA SB EVA SURF GREEN,40,12,,SET ASIDE,453902,16,1029744,192762526116,4067707144662,False
453902,Box 17 - BOSTON NU OILED HABANA 42,BOSTON NU OILED HABANA,42,8,X005BB6D87,FBA19QHGWM04U000473,453902,17,860131,809410438188,4040714438184,False
453902,Box 18 - ARIZONA BFBC MOCCA 38,ARIZONA BFBC MOCCA,38,12,X004QNRIK3,FBA19QHGWM04U000399,453902,18,151181,809410059178,4040714059174,False
453902,Box 19 - ARIZONA BF BLACK 42,ARIZONA BF BLACK,42,12,X0049PUDY1,FBA19QHGWM04U000350,453902,19,51791,736399023275,4013871023272,False
453902,Box 20 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000078,453902,20,51791,736399020274,4013871020271,False
453902,Box 21 - ARIZONA BFBC MOCCA 41,ARIZONA BFBC MOCCA,41,12,X0052HPEVR,FBA19QHGWM04U000267,453902,21,151181,809410059208,4040714059204,False
453902,Box 22 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000079,453902,22,51791,736399020274,4013871020271,False
453902,Box 23 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000002,453902,23,51791,736399035445,4013871035442,False
453902,Box 24 - ARIZONA BF BLACK 43,ARIZONA BF BLACK,43,12,X0052EJCIV,FBA19QHGWM04U000141,453902,24,51791,736399027594,4013871027591,False
453903,Box 1 - SET ASIDE (NO VA A AMAZON) - BOSTON NU OILED HABANA 43,BOSTON NU OILED HABANA,43,8,,SET ASIDE,453903,1,860131,809410438195,4040714438191,False
453903,Box 2 - ARIZONA BF BLACK 42,ARIZONA BF BLACK,42,12,X0049PUDY1,FBA19QHGWM04U000351,453903,2,51791,736399023275,4013871023272,False
453903,Box 3 - SET ASIDE (NO VA A AMAZON) - ARIZONA SB EVA SURF GREEN 41,ARIZONA SB EVA SURF GREEN,41,8,,SET ASIDE,453903,3,1029744,192762526147,4067707144709,False
453903,Box 4 - ARIZONA BF BLACK 42,ARIZONA BF BLACK,42,12,X0049PUDY1,FBA19QHGWM04U000352,453903,4,51791,736399023275,4013871023272,False
453903,Box 5 - ARIZONA EVA WHITE 41,ARIZONA EVA WHITE,41,12,X004IX8D87,FBA19QHGWM04U000513,453903,5,129443,886454424902,4052001424909,False
453903,Box 6 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000080,453903,6,51791,736399020274,4013871020271,False
453903,Box 7 - ARIZONA BF BLACK 42,ARIZONA BF BLACK,42,12,X0049PUDY1,FBA19QHGWM04U000353,453903,7,51791,736399023275,4013871023272,False
453903,Box 8 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000003,453903,8,51791,736399035445,4013871035442,False
453903,Box 9 - ARIZONA BFBC MOCCA 39,ARIZONA BFBC MOCCA,39,12,X004WEBIS9,FBA19QHGWM04U000240,453903,9,151181,809410059185,4040714059181,False
453903,Box 10 - ARIZONA BF BLACK 42,ARIZONA BF BLACK,42,12,X0049PUDY1,FBA19QHGWM04U000354,453903,10,51791,736399023275,4013871023272,False
453903,Box 11 - ARIZONA BFBC GRAY TAUPE 43,ARIZONA BFBC GRAY TAUPE,43,8,X005BBGBY3,FBA19QHGWM04U000344,453903,11,1032019,192763097684,4067707903580,False
