PACKING LIST,630 UNIDADES,,,,,,,,,,,,,,,
Style,Size,Description,Pallet Salida,BOX O,EAN-CODE,UPC,QTY,MEDIDAS CAJAS EN PULGADAS,,,PESO (LBS),Shipment # 1,Set Aside,FNSKU,AMAZON Labels,OTHER SKU
151181,41,ARIZONA BFBC MOCCA,453902,21,4040714059204,809410059208,12,18,18,13,18,12,,X0052HPEVR,FBA19QHGWM04U000267,
51791,39,ARIZONA BF BLACK,453902,22,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000079,
51791,44,ARIZONA BF BLACK,453902,23,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000002,
51791,43,ARIZONA BF BLACK,453902,24,4013871027591,736399027594,12,18,18,13,18,12,,X0052EJCIV,FBA19QHGWM04U000141,
860131,43,BOSTON NU OILED HABANA,453903,1,4040714438191,809410438195,8,18,18,13,12,,8,,,
51791,42,ARIZONA BF BLACK,453903,2,4013871023272,736399023275,12,18,18,13,18,12,,X0049PUDY1,FBA19QHGWM04U000351,
1029744,41,ARIZONA SB EVA SURF GREEN,453903,3,4067707144709,192762526147,8,18,18,13,12,,8,,,
51791,42,ARIZONA BF BLACK,453903,4,4013871023272,736399023275,12,18,18,13,18,12,,X0049PUDY1,FBA19QHGWM04U000352,
129443,41,ARIZONA EVA WHITE,453903,5,4052001424909,886454424902,12,18,18,13,18,12,,X004IX8D87,FBA19QHGWM04U000513,
51791,39,ARIZONA BF BLACK,453903,6,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000080,
51791,42,ARIZONA BF BLACK,453903,7,4013871023272,736399023275,12,18,18,13,18,12,,X0049PUDY1,FBA19QHGWM04U000353,
51791,44,ARIZONA BF BLACK,453903,8,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000003,
151181,39,ARIZONA BFBC MOCCA,453903,9,4040714059181,809410059185,12,18,18,13,18,12,,X004WEBIS9,FBA19QHGWM04U000240,
51791,42,ARIZONA BF BLACK,453903,10,4013871023272,736399023275,12,18,18,13,18,12,,X0049PUDY1,FBA19QHGWM04U000354,
1032019,43,ARIZONA BFBC GRAY TAUPE,453903,11,4067707903580,192763097684,8,18,18,13,12,8,,X005BBGBY3,FBA19QHGWM04U000344,
151181,39,ARIZONA BFBC MOCCA,453903,12,4040714059181,809410059185,12,18,18,13,18,12,,X004WEBIS9,FBA19QHGWM04U000241,
51791,42,ARIZONA BF BLACK,453903,13,4013871023272,736399023275,12,18,18,13,18,12,,X0049PUDY1,FBA19QHGWM04U000355,
1027382,40,BOSTON EVA EGGSHELL,453903,14,4066648349624,192761925354,12,18,18,13,18,12,,X004IWTJXV,FBA19QHGWM04U000318,
151181,39,ARIZONA BFBC MOCCA,453903,15,4040714059181,809410059185,12,18,18,13,18,12,,X004WEBIS9,FBA19QHGWM04U000242,
151181,38,ARIZONA BFBC MOCCA,453903,16,4040714059174,809410059178,12,18,18,13,18,12,,X004QNRIK3,FBA19QHGWM04U000400,
1029744,41,ARIZONA SB EVA SURF GREEN,453903,17,4067707144709,192762526147,8,18,18,13,12,,8,,,
51791,44,ARIZONA BF BLACK,453903,18,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000004,
51791,42,ARIZONA BF BLACK,453903,19,4013871023272,736399023275,12,18,18,13,18,12,,X0049PUDY1,FBA19QHGWM04U000356,
1032019,38,ARIZONA BFBC GRAY TAUPE,453903,20,4067707903382,192763097530,12,18,18,13,18,,12,,,
51791,39,ARIZONA BF BLACK,453903,21,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000081,
51791,39,ARIZONA BF BLACK,453903,22,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000082,
51791,39,ARIZONA BF BLACK,453903,23,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000083,
51791,42,ARIZONA BF BLACK,453903,24,4013871023272,736399023275,12,18,18,13,18,12,,X0049PUDY1,FBA19QHGWM04U000357,
51791,39,ARIZONA BF BLACK,453904,1,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000084,
51791,39,ARIZONA BF BLACK,453904,2,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000085,
151181,37,ARIZONA BFBC MOCCA,453904,3,4040714059167,809410059161,12,18,18,13,18,12,,X004WEFBWX,FBA19QHGWM04U000390,
1032019,43,ARIZONA BFBC GRAY TAUPE,453904,4,4067707903580,192763097684,8,18,18,13,12,8,,X005BBGBY3,FBA19QHGWM04U000345,
129423,40,ARIZONA EVA BLACK,453904,5,4052001424657,886454424650,12,18,18,13,18,12,,X004IXFGSR,FBA19QHGWM04U000497,
51791,39,ARIZONA BF BLACK,453904,6,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000086,
129423,40,ARIZONA EVA BLACK,453904,7,4052001424657,886454424650,12,18,18,13,18,12,,X004IXFGSR,FBA19QHGWM04U000498,
51791,39,ARIZONA BF BLACK,453904,8,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000087,
